sequential_id,osm_id
1,12067407
2,12067409
3,12067411
4,12067429
5,12067434
6,12067438
7,12067439
8,12067443
9,12067458
10,12067461
11,12067466
12,12067467
13,12067476
14,12067481
15,12067485
16,12067495
17,12067502
18,12067507
19,12067511
20,12067515
21,12067542
22,12067544
23,12089276
24,12089306
25,17216338
26,17216409
27,17216414
28,17216429
29,17216442
30,17216497
31,21458457
32,21458570
33,21739070
34,21739121
35,21739188
36,21834383
37,21834569
38,21834704
39,22352232
40,22352249
41,22352553
42,22352654
43,24078516
44,24078839
45,24079220
46,24079238
47,24081110
48,24081705
49,24081736
50,24081814
51,24081884
52,24081972
53,24265131
54,24619926
55,24620306
56,24620582
57,24620804
58,24621215
59,24622022
60,24622693
61,24623554
62,24624083
63,24624248
64,24651214
65,24654617
66,25004300
67,25006460
68,25006816
69,25006991
70,25007657
71,25008153
72,25008513
73,25008795
74,25250036
75,25250131
76,25353129
77,25353133
78,25629538
79,25629539
80,25629540
81,25629548
82,25629549
83,25629551
84,25629553
85,25629559
86,25629564
87,25629569
88,25629578
89,25629579
90,25629582
91,25629685
92,25629687
93,25629690
94,25629704
95,25629724
96,25629740
97,25629745
98,25783681
99,26082576
100,26082580
101,26082601
102,26082606
103,26082614
104,26082617
105,26082618
106,26082623
107,26082626
108,26082635
109,26082642
110,26082644
111,26082645
112,26082653
113,26082660
114,26082684
115,26082690
116,26082703
117,26272568
118,26272571
119,26272599
120,26272652
121,26272655
122,26272672
123,26272674
124,26272868
125,26272883
126,26272885
127,26272945
128,26281437
129,26281455
130,26281502
131,26281535
132,26285834
133,26365520
134,26504493
135,26504542
136,26504574
137,26504597
138,26504623
139,26504625
140,26504630
141,26506280
142,26580561
143,26580617
144,26647626
145,26647660
146,26647683
147,26647705
148,26664641
149,26664668
150,26664758
151,26664759
152,26664778
153,26664785
154,26831941
155,26831982
156,26831985
157,26831988
158,26831993
159,26832002
160,26832095
161,27485077
162,29025065
163,29025439
164,29025708
165,29025724
166,29098405
167,29487872
168,29500569
169,29500573
170,29523876
171,29553506
172,29583478
173,29583600
174,29670456
175,29670458
176,30105558
177,30763089
178,30763092
179,30763093
180,30763094
181,30763095
182,30763097
183,30763114
184,30763115
185,30763116
186,30763118
187,30763124
188,30763125
189,30763126
190,30763129
191,30763133
192,30763135
193,30763136
194,30763137
195,30763138
196,30763139
197,30763142
198,30763144
199,30763146
200,30763147
201,30763148
202,30763150
203,30763151
204,30763155
205,30763158
206,30763162
207,30763163
208,30763164
209,30763168
210,30763169
211,30763171
212,30763172
213,30763174
214,30763175
215,30763178
216,30763179
217,30763180
218,30763182
219,30763183
220,30763184
221,30763185
222,30763200
223,30763205
224,30763215
225,30763242
226,30763493
227,30763494
228,30763495
229,30763496
230,30763497
231,30763498
232,30763504
233,30763505
234,30763506
235,30763508
236,30763513
237,30763514
238,30763515
239,30763516
240,30763517
241,30763518
242,30763519
243,30763521
244,30763522
245,30763525
246,30763529
247,30763530
248,30763531
249,30763536
250,30764650
251,30917449
252,30917451
253,30917456
254,30917462
255,31241687
256,31241689
257,31241701
258,31241730
259,31241733
260,31241741
261,31241750
262,31241766
263,31241781
264,31241785
265,31393667
266,31393674
267,31393682
268,31393684
269,31393720
270,31877894
271,31877895
272,31877896
273,31877898
274,31877900
275,31877925
276,31908997
277,31908999
278,31909001
279,31909045
280,31909047
281,31909048
282,31909052
283,31909053
284,31909064
285,31909078
286,31909097
287,31909099
288,31909100
289,31909131
290,31909134
291,31909136
292,31909178
293,31909184
294,31909185
295,31909189
296,31909231
297,31909234
298,31909235
299,31909236
300,31909246
301,31909264
302,31909265
303,31909270
304,31909271
305,31909274
306,31909275
307,31909282
308,31909292
309,31909293
310,31909294
311,31909295
312,31909296
313,31909342
314,31909343
315,31909344
316,32087315
317,32087342
318,32087720
319,32087820
320,32087821
321,32087875
322,32087876
323,32088036
324,32088037
325,32088265
326,32088267
327,32088514
328,32088515
329,32088516
330,32088517
331,32088518
332,32088713
333,32088715
334,32088716
335,32088717
336,32088848
337,32088849
338,32088850
339,32088851
340,32088852
341,32088853
342,32088854
343,32088855
344,32088856
345,32088857
346,32088858
347,32089041
348,32089043
349,32089044
350,32089045
351,32089046
352,32089047
353,32089048
354,32089049
355,32089050
356,32089051
357,32090498
358,32090986
359,32090992
360,32090993
361,32091096
362,32096070
363,32096071
364,32096074
365,32096075
366,32096076
367,32096077
368,32096078
369,32096079
370,32096080
371,32096107
372,32096113
373,32096118
374,32096360
375,32096361
376,32096362
377,32096364
378,32096366
379,32096367
380,32096368
381,32096373
382,32096374
383,32096486
384,32096487
385,32096488
386,32096489
387,32096490
388,32096498
389,32096499
390,32096506
391,32096507
392,32096508
393,32284941
394,32285039
395,32285096
396,32285101
397,32285111
398,32285166
399,32425195
400,32425196
401,32425200
402,32425204
403,32425207
404,32425339
405,32425340
406,32425348
407,32425350
408,32425354
409,32425355
410,32425357
411,32425361
412,32476225
413,32476237
414,32476246
415,32476249
416,32476255
417,32476261
418,32476268
419,32476274
420,32476293
421,32476305
422,32476308
423,32476313
424,32476320
425,32476327
426,32476329
427,32476339
428,32476344
429,32476346
430,32476347
431,32476352
432,32476364
433,32476379
434,32476389
435,32476396
436,32476409
437,32476423
438,32476430
439,32476431
440,32476433
