source,target
1053,4443
12051,8544
10439,9811
6963,2915
12210,11508
5524,10460
2843,8912
9647,7529
11276,10487
7618,3395
2373,12298
12416,5709
10855,10440
931,5655
10119,2117
11538,13294
3027,4619
5193,2992
13110,4713
11214,874
3493,6413
10312,11133
11443,10088
2813,13016
1169,6331
1766,4928
12865,329
2011,10848
7562,7008
13092,12261
3740,7148
616,173
13421,3675
5976,779
4411,1513
4409,4635
9629,4228
11042,4794
9803,4143
8168,1331
11091,12536
9369,5458
3711,8142
12220,4177
3536,7087
3673,6287
9661,3717
10637,13649
6473,13071
12732,2960
487,2680
12651,3127
10756,1608
3028,2266
3989,9064
5484,10582
3208,5283
13434,6323
6984,8206
5255,11127
4565,5137
514,6230
2066,9081
834,7792
8411,10432
11232,7392
8241,1216
9404,5748
11578,7931
6899,10058
12350,13083
12682,4490
2187,1577
3684,11728
4051,13589
9482,9820
465,7174
5291,10802
3069,7202
414,5495
11106,10729
12034,2139
12399,5270
2690,11233
5074,1115
12005,12759
7907,1747
10873,13079
4223,4232
6120,8201
3063,9443
7040,8576
12844,11007
9363,12619
584,3160
1613,1615
2709,4394
802,9624
11000,1086
13377,4270
