source,target,length,name,highway
1,11080,22.66,E. Rodriguez Sr. Avenue,secondary
1,2,19.49,Mabuhay Rotonda,primary
2,8427,24.58,Quezon Avenue,primary
2,3,27.59,Mabuhay Rotonda,primary
3,9940,4.85,Mabuhay Rotonda,primary
4,2956,119.39,Panay Avenue,tertiary
4,12217,119.47,Doctor G. Garcia Avenue,residential
4,13373,129.39,Doctor G. Garcia Avenue,residential
4,1039,320.23,Panay Avenue,tertiary
5,1541,338.08,Panay Avenue,tertiary
5,6,123.37,Scout Magbanua Street,residential
5,1543,125.89,Scout Magbanua Street,residential
5,12474,314.98,Panay Avenue,tertiary
6,12218,7.65,Mother Ignacia Avenue,tertiary
6,13496,114.52,Mother Ignacia Avenue,tertiary
6,383,60.83,Scout Magbanua Street,residential
6,5,123.37,Scout Magbanua Street,residential
7,9893,37.51,,secondary_link
7,11095,29.01,Don Alejandro Roces Avenue,secondary
8,685,36.97,Timog Avenue,primary
8,7772,41.04,Panay Avenue,tertiary
8,7708,46.6,Timog Avenue,primary
8,7707,48.89,Panay Avenue,tertiary
9,671,38.82,11th Jamboree Street,tertiary
9,655,56.91,11th Jamboree Street,tertiary
9,441,226.71,Scout Gandia Street,residential
10,630,59.67,K-D Street,residential
10,655,55.77,11th Jamboree Street,tertiary
10,11,258.79,Kamuning Road,secondary
10,9811,294.08,Kamuning Road,secondary
11,10,258.79,Kamuning Road,secondary
11,261,253.48,Kamuning Road,secondary
11,631,58.31,Judge D. Jimenez Street,tertiary
11,11674,134.83,Scout Ybardolaza Street,tertiary
12,11883,12.5,Kamuning Road,secondary
12,9810,27.67,Kamuning Road,secondary
13,14,283.14,7th Street,residential
13,310,88.97,Doña Hemady Street,secondary
14,304,93.0,Gilmore Avenue,secondary
14,13,283.14,7th Street,residential
14,8683,278.87,7th Street,residential
15,9429,288.36,E. Rodriguez Sr. Avenue,secondary
15,22,33.69,E. Rodriguez Sr. Avenue,secondary
15,314,103.18,Gilmore Avenue,secondary
16,10026,9.05,Tomas Morato Avenue,secondary
16,11953,149.19,Don Alejandro Roces Avenue,secondary
17,446,58.28,Scout Torillo Street,residential
17,445,61.16,Scout Torillo Street,residential
17,18,233.71,Scout Gandia Street,residential
