source,target,distance_ms,disconnected
6504,3479,594,False
12833,3479,591,False
8205,5744,301,False
13183,10994,780,False
9394,1753,1040,False
7198,11404,224,False
10574,8427,906,False
13197,1205,815,False
9486,2900,222,False
7730,624,919,False
10076,9672,899,False
7197,5879,361,False
408,5506,32,False
12974,2518,815,False
1316,10370,1089,False
7685,11387,631,False
706,6234,1256,False
3453,8875,765,False
10903,6544,504,False
2688,8995,702,False
2789,1772,598,False
6997,8463,1011,False
1219,4807,1340,False
7335,7852,425,False
9323,537,861,False
4057,8853,802,False
11538,8212,825,False
8167,12562,488,False
13527,8882,492,False
8531,12360,766,False
8124,11575,653,False
394,2529,957,False
6710,11404,1031,False
13334,1473,545,False
11320,6768,1058,False
11403,3751,524,False
598,5258,946,False
2280,10144,405,False
13149,1878,655,False
3216,9706,1216,False
6283,1696,971,False
11479,1113,809,False
4530,10337,615,False
197,2284,312,False
11026,10098,908,False
9804,13366,549,False
1945,2387,890,False
8166,7231,1010,False
5897,7210,1031,False
5086,10681,178,False
12884,10204,510,False
777,9322,704,False
562,13381,897,False
6118,9129,667,False
4773,6458,449,False
9756,2796,710,False
9353,2826,631,False
7983,6964,233,False
12629,6874,121,False
1443,7745,1201,False
8710,2119,774,False
1267,12012,956,False
6505,1336,1216,False
7126,5144,865,False
11198,13435,932,False
8463,1839,1223,False
10742,4862,929,False
9241,11624,375,False
2547,1517,330,False
4388,12085,494,False
2666,765,633,False
12090,3147,1052,False
1371,4991,1347,False
2576,13535,717,False
1968,11639,327,False
12498,5147,931,False
8721,8994,356,False
122,13475,967,False
5327,13353,739,False
11792,2529,386,False
6289,11592,709,False
3890,8314,610,False
1619,9955,1091,False
5805,12401,242,False
3599,3454,444,False
60,9876,891,False
5217,4605,565,False
2465,750,735,False
8976,4624,608,False
2209,639,607,False
13166,5347,904,False
11612,3315,800,False
1700,5291,999,False
6267,10350,992,False
5946,7474,877,False
12936,11560,811,False
4803,9373,489,False
4866,1432,1180,False
10480,7189,1106,False
8280,8517,905,False
