source,target,distance_meters,time_microseconds,disconnected
12833,3479,560,0,false
8205,5744,300,0,false
13183,10994,780,0,false
9394,1753,942,0,false
7198,11404,224,0,false
10574,8427,853,0,false
13197,1205,776,1,false
9486,2900,222,0,false
7730,624,893,0,false
10076,9672,835,0,false
7197,5879,360,0,false
408,5506,32,0,false
12974,2518,723,1,false
1316,10370,1089,0,false
7685,11387,620,0,false
706,6234,1229,0,false
3453,8875,758,0,false
10903,6544,477,0,false
2688,8995,684,0,false
2789,1772,571,0,false
6997,8463,916,1,false
1219,4807,1176,0,false
7335,7852,380,0,false
9323,537,683,0,false
4057,8853,753,0,false
11538,8212,741,0,false
8167,12562,454,0,false
13527,8882,427,0,false
8531,12360,682,0,false
8124,11575,437,0,false
394,2529,953,0,false
6710,11404,1030,0,false
13334,1473,522,1,false
11320,6768,951,0,false
11403,3751,394,0,false
598,5258,931,1,false
2280,10144,332,0,false
13149,1878,653,0,false
3216,9706,1216,0,false
6283,1696,945,0,false
11479,1113,808,0,false
4530,10337,560,0,false
197,2284,308,0,false
11026,10098,782,0,false
9804,13366,460,0,false
1945,2387,872,0,false
8166,7231,1009,0,false
5897,7210,963,0,false
5086,10681,158,0,false
12884,10204,460,0,false
777,9322,704,0,false
562,13381,897,1,false
6118,9129,667,1,false
4773,6458,436,1,false
9756,2796,639,0,false
9353,2826,534,0,false
7983,6964,232,1,false
12629,6874,120,0,false
1443,7745,1036,0,false
8710,2119,773,1,false
1267,12012,956,0,false
6505,1336,960,0,false
7126,5144,838,0,false
11198,13435,796,1,false
8463,1839,776,0,false
10742,4862,849,1,false
9241,11624,375,0,false
2547,1517,311,0,false
4388,12085,493,0,false
2666,765,630,0,false
12090,3147,1007,0,false
1371,4991,1288,0,false
2576,13535,707,0,false
1968,11639,302,0,false
12498,5147,928,0,false
8721,8994,354,0,false
122,13475,964,0,false
5327,13353,697,0,false
11792,2529,385,0,false
6289,11592,680,0,false
3890,8314,606,1,false
1619,9955,877,0,false
5805,12401,242,1,false
3599,3454,443,0,false
60,9876,822,0,false
5217,4605,562,1,false
2465,750,699,0,false
8976,4624,459,0,false
2209,639,519,1,false
13166,5347,767,1,false
11612,3315,792,0,false
1700,5291,939,0,false
6267,10350,949,0,false
5946,7474,822,1,false
12936,11560,805,1,false
4803,9373,439,1,false
4866,1432,1104,1,false
10480,7189,927,1,false
8280,8517,872,0,false
